,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Slc35g1,0.261129766928534,0.78218955538176,0.008,0.004,1
Klrd1,0.261170642520478,-0.671952990031989,0.025,0.033,1
Ppip5k1,0.261253332566246,0.136473494989729,0.03,0.022,1
Ssc4d,0.261271799042263,0.724145058098783,0.009,0.005,1
Wdr55,0.261277492891143,-0.518422671037768,0.055,0.066,1
Mreg,0.261364691132401,0.0824006414943206,0.008,0.004,1
Hebp1,0.261387474538854,0.0622450405035622,0.221,0.197,1
Ptrh1,0.261489476385206,0.678413263508554,0.009,0.005,1
Csnk1g3,0.261514670105947,-0.187480971357241,0.334,0.346,1
Noct,0.261542788323106,-0.0352478650972525,0.387,0.405,1
Zfp318,0.26163580057878,-0.0307175752558462,0.113,0.096,1
Trdmt1,0.26165034386896,0.381854090539175,0.036,0.027,1
Mpst,0.261672913554882,-0.328746698130528,0.094,0.106,1
Abhd6,0.261697954054194,-0.114434195153488,0.046,0.057,1
Usp27x,0.261707279059525,0.678370003812617,0.009,0.005,1
Zfp975,0.261720726205913,0.406216604201394,0.01,0.006,1
Siglecf,0.261720726205913,0.101638193599779,0.01,0.006,1
Vgll4,0.261813073358013,-0.195179667257767,0.179,0.192,1
Cep295nl,0.261834977773714,0.710108473266227,0.008,0.004,1
Cdc7,0.261925207080115,0.514131970905608,0.009,0.005,1
Cep44,0.261944273588084,0.104377649102303,0.037,0.028,1
Magee1,0.262070340248649,0.507820191506112,0.008,0.004,1
Epha1,0.262070340248649,0.54936320318521,0.008,0.004,1
Rbfox1,0.262305848851298,0.296635494863973,0.008,0.004,1
Pole3,0.262359137784732,0.08345344249601,0.126,0.107,1
Rps3,0.262630553355931,-0.0351155782495498,0.978,0.989,1
Srrt,0.262713591178645,-0.297675334405277,0.184,0.197,1
Slfn8,0.262727853883051,0.041249776305281,0.184,0.164,1
Ranbp17,0.262798172921105,0.592155605522365,0.009,0.005,1
Gm5475,0.263016727894489,0.399716644526547,0.009,0.005,1
Pgm3,0.26308568678444,0.0267138473726671,0.05,0.039,1
Bivm,0.263153391747312,-0.739052394439599,0.019,0.026,1
Pomt2,0.263338596209519,0.463154736356718,0.021,0.015,1
Cfap36,0.263409420999505,0.435936495479388,0.145,0.131,1
Swsap1,0.263485584426768,0.469646603193817,0.008,0.004,1
Gnb1,0.263500598125783,0.0942043775007009,0.791,0.762,1
Fads1,0.263540670599076,0.149947177784069,0.208,0.187,1
Vamp2,0.263594588610736,0.15542870856307,0.131,0.114,1
Rps5,0.263828817353627,0.025775121177916,0.982,0.993,1
AW209491,0.26395850219418,0.215818172181139,0.008,0.004,1
Exosc4,0.263980317905853,0.166135746822849,0.085,0.07,1
Abhd16a,0.263983439871649,0.0326772127436636,0.189,0.165,1
Pgd,0.264039867379012,0.0731115397648283,0.403,0.375,1
Dtymk,0.264107933581828,0.234174830949712,0.162,0.144,1
Dph5,0.264142069134447,-0.196953353624568,0.127,0.142,1
Ang,0.264463130669764,-0.162374533693797,0.186,0.203,1
Ifnar2,0.264678725339961,-0.12983705677968,0.634,0.618,1
Rps15,0.264736873816952,-0.0156937710503029,0.983,0.988,1
Taf1d,0.264743524780028,0.0963645606572572,0.311,0.284,1
Ppp2r1b,0.264914699894825,0.138424070163763,0.058,0.047,1
2010315B03Rik,0.264928063790819,0.502298105951825,0.035,0.026,1
Strap,0.264929363721658,-0.0350246743856166,0.311,0.276,1
Rbmx,0.265136849069628,-0.370035053832338,0.057,0.069,1
Apobec3,0.265216255268489,0.0745280040877824,0.373,0.344,1
Dhx9,0.265231066770975,-0.170043329256271,0.186,0.202,1
Zbtb21,0.265448461517678,0.189647808663023,0.163,0.144,1
Tbk1,0.265470364864576,0.108333886824883,0.353,0.321,1
Pigo,0.26550589640435,0.150564391397736,0.017,0.024,1
Aggf1,0.265868705071087,0.0381679077684747,0.141,0.122,1
Plekhg3,0.265934918801295,-0.261583981545235,0.158,0.174,1
Rbm15,0.26594810707807,0.272296417557431,0.14,0.123,1
Wdr45b,0.266045727565459,0.0546150042405229,0.261,0.231,1
Ttpal,0.266053959759456,-0.17730758528275,0.143,0.157,1
Rabl2,0.266054734053558,0.439167719848773,0.021,0.015,1
Slc9a7,0.266538844738337,-0.324983814855335,0.032,0.042,1
Rnf103,0.266586152007816,0.161075965810182,0.11,0.094,1
Zfhx3,0.266637619777073,-0.0541699225776915,0.754,0.735,1
Mrps15,0.266638296002908,0.0969695819508398,0.323,0.294,1
Naa25,0.266712722389488,0.170893209094603,0.071,0.059,1
Togaram1,0.266789390346343,0.244809976665471,0.112,0.096,1
Flywch1,0.267286995458499,0.256698307121493,0.061,0.05,1
